IndicativJudet,NumeJudet,Regiune,MacroRegiune
ab,Alba,Centru,RO1
ag,Arges,Sud,RO3
ar,Arad,Vest,RO4
b,Municipiul Bucuresti,Bucuresti-Ilfov,RO3
bc,Bacau,Nord-Est,RO2
bh,Bihor,Nord-Vest,RO1
bn,Bistrita-Nasaud,Nord-Vest,RO1
br,Braila,Sud-Est,RO2
bt,Botosani,Nord-Est,RO2
bv,Brasov,Centru,RO1
bz,Buzau,Sud-Est,RO2
cj,Cluj,Nord-Vest,RO1
cl,Calarasi,Sud,RO3
cs,Caras-Severin,Vest,RO4
ct,Constanta,Sud-Est,RO2
cv,Covasna,Centru,RO1
db,Dambovita,Sud,RO3
dj,Dolj,Sud-Vest,RO4
gj,Gorj,Sud-Vest,RO4
gl,Galati,Sud-Est,RO2
gr,Giurgiu,Sud,RO3
hd,Hunedoara,Vest,RO4
hr,Harghita,Centru,RO1
if,Ilfov,Bucuresti-Ilfov,RO3
il,Ialomita,Sud,RO3
is,Iasi,Nord-Est,RO2
mh,Mehedinti,Sud-Vest,RO4
mm,Maramures,Nord-Vest,RO1
ms,Mures,Centru,RO1
nt,Neamt,Nord-Est,RO2
ot,Olt,Sud-Vest,RO4
ph,Prahova,Sud,RO3
sb,Sibiu,Centru,RO1
sj,Salaj,Nord-Vest,RO1
sm,Satu Mare,Nord-Vest,RO1
sv,Suceava,Nord-Est,RO2
tl,Tulcea,Sud-Est,RO2
tm,Timis,Vest,RO4
tr,Teleorman,Sud,RO3
vl,Valcea,Sud-Vest,RO4
vn,Vrancea,Sud-Est,RO2
vs,Vaslui,Nord-Est,RO2
