Componenta,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
C1,8.383524517950102,8.383524517950102,52.39702823718812,52.39702823718812
C2,1.7256011063814312,10.109125624331533,10.78500691488394,63.18203515207206
C3,1.282429098384582,11.391554722716116,8.015181864903635,71.1972170169757
C4,1.0672925355587457,12.458847258274862,6.670578347242158,77.86779536421786
C5,0.9693738365528382,13.4282210948277,6.0585864784552355,83.9263818426731
C6,0.618837894064369,14.047058988892068,3.8677368379023043,87.7941186805754
C7,0.5466076801885356,14.593666669080605,3.416298001178346,91.21041668175374
C8,0.370370795008346,14.964037464088952,2.3148174688021617,93.5252341505559
C9,0.2774543915585408,15.241491855647492,1.7340899472408793,95.25932409779678
C10,0.21173374653092888,15.45322560217842,1.323335915818305,96.58266001361508
C11,0.20366332755621777,15.656888929734638,1.2728957972263604,97.85555581084144
C12,0.1595880955401964,15.816477025274834,0.997425597126227,98.85298140796766
C13,0.10425440717684123,15.920731432451674,0.6515900448552574,99.50457145282292
C14,0.0497570098954292,15.970488442347104,0.3109813118464324,99.81555276466935
C15,0.029335092247841633,15.999823534594945,0.18334432654901012,99.99889709121835
C16,0.00017646540506223617,16.000000000000007,0.0011029087816389756,99.99999999999999
