Judet,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ab,61.325,60.884,38.755,49.945,39.148,33.91,37.725,35.503,37.102,42.708,43.928,59.109,46.898,63.121
ag,51.242,57.745,33.262,28.211,35.192,25.451,32.571,28.245,29.647,30.108,27.457,26.468,20.671,20.302
ar,39.932,49.146,29.2,52.661,27.496,24.968,34.69,39.972,20.257,19.589,18.599,17.97,18.684,16.84
b,1.024,1.081,0.974,1.012,1.013,1.018,1.028,1.035,1.022,1.026,1.018,0.998,0.98,0.984
bc,39.478,55.162,31.321,42.148,32.993,28.23,30.06,26.675,25.458,26.57,23.203,21.878,20.54,17.897
bh,44.035,90.09,31.491,27.825,27.449,42.486,30.654,27.149,23.841,22.996,21.709,19.164,20.04,19.292
bn,52.867,53.855,42.214,32.681,33.908,30.927,34.42,29.932,61.979,49.858,35.304,25.879,27.082,16.815
br,85.332,53.534,59.61,63.612,56.449,51.187,47.718,48.372,39.904,56.424,63.724,67.664,51.587,48.747
bt,77.45,64.315,73.359,85.332,448.183,50.782,46.286,47.235,38.915,35.264,32.25,32.417,29.811,27.568
bv,45.869,31.767,39.026,32.725,31.948,29.725,30.08,25.106,24.755,28.171,26.238,24.506,19.463,22.294
bz,352.767,371.354,75.077,110.906,99.849,89.898,75.781,81.639,77.181,79.53,95.325,91.376,65.196,43.746
cj,30.424,37.263,33.153,31.03,31.649,32.761,27.443,33.405,30.448,35.278,27.174,22.362,21.027,23.334
cl,68.174,138.269,173.667,58.705,55.748,71.802,105.774,74.223,46.053,67.736,48.316,42.457,529.695,322.589
cs,78.397,74.29,48.127,114.35,63.329,46.409,53.501,42.264,39.671,54.984,45.185,40.309,48.808,63.749
ct,54.017,283.153,32.997,28.543,22.289,24.177,24.48,24.044,34.175,33.359,27.252,26.592,25.123,19.88
cv,49.232,49.278,61.767,60.937,36.128,41.816,38.923,33.638,66.977,31.14,27.72,36.135,27.968,26.78
db,55.703,70.605,52.723,41.374,41.556,43.887,36.754,104.77,26.584,33.823,20.782,17.484,16.749,16.703
dj,69.613,29.322,44.402,45.987,36.314,47.193,41.84,31.487,35.06,33.169,28.778,24.94,41.704,35.367
gj,50.157,58.097,27.036,27.679,37.794,35.548,25.046,35.963,16.931,18.204,17.059,14.601,12.598,12.271
gl,56.204,60.128,60.896,119.238,71.44,76.325,68.818,70.334,26.854,24.518,24.133,24.573,19.618,17.158
gr,120.9,42.796,79.219,65.993,32.403,35.263,22.959,33.768,32.683,23.111,21.45,19.759,17.335,17.679
hd,112.576,42.97,32.351,37.55,42.393,43.948,34.548,32.712,29.536,41.015,43.382,41.187,40.869,28.456
hr,41.385,63.594,57.637,45.662,39.316,28.041,26.735,23.331,24.709,32.261,34.617,16.566,16.158,15.871
if,14.43,14.25,13.615,10.289,7.828,8.236,6.602,6.962,6.468,6.855,7.12,6.58,5.602,5.568
il,51.133,69.815,47.321,41.465,37.206,33.763,32.588,35.181,30.711,32.021,25.513,23.865,23.919,25.751
is,62.685,53.636,36.495,32.279,30.49,25.541,30.841,30.836,30.046,29.145,28.813,19.833,20.574,52.16
mh,160.145,84.059,81.21,73.432,61.699,52.639,63.589,63.179,55.391,77.274,37.777,74.863,34.389,46.552
mm,32.708,76.974,37.255,51.157,43.13,62.895,83.82,59.054,48.102,40.066,34.476,34.568,20.767,25.224
ms,318.698,50.295,43.581,49.738,38.658,38.024,38.799,36.591,29.092,33.086,29.364,27.972,25.533,24.048
nt,31.362,27.67,21.439,22.838,21.598,23.382,32.05,31.055,23.66,23.345,22.519,20.314,17.057,15.973
ot,43.427,47.166,41.475,38.888,34.811,40.828,39.499,37.396,41.903,28.743,26.78,24.628,27.858,27.342
ph,28.083,37.719,25.43,30.139,20.843,20.176,21.095,39.744,21.952,20.294,18.666,19.457,20.994,15.759
sb,53.703,75.442,55.435,48.608,75.508,59.934,52.615,47.884,38.998,52.014,29.709,28.994,29.078,24.038
sj,66.839,86.185,116.938,62.725,43.997,46.368,43.745,38.49,73.645,85.692,55.197,40.296,40.855,46.564
sm,46.019,56.722,27.874,24.565,26.124,27.941,32.59,98.082,22.177,39.802,21.816,27.152,23.321,23.344
sv,30.178,37.525,35.796,27.347,22.561,17.017,16.857,20.638,21.172,19.867,22.008,19.729,17.287,15.626
tl,79.547,71.391,42.003,46.549,45.61,37.426,37.833,45.802,49.859,39.716,48.23,52.606,35.598,30.117
tm,57.727,61.562,33.006,36.645,29.619,26.558,39.507,36.213,31.127,23.992,19.494,22.589,22.027,18.385
tr,103.247,67.967,76.01,65.591,77.128,53.794,55.091,41.727,38.463,35.698,31.445,37.881,28.182,24.426
vl,41.306,48.716,20.799,44.53,29.928,33.24,29.161,29.133,29.006,25.872,25.954,24.51,33.781,25.741
vn,43.943,77.587,44.28,30.134,26.215,24.68,27.047,25.424,27.455,24.229,21.622,21.321,19.482,18.823
vs,345.218,479.281,361.325,410.106,211.441,183.493,47.015,42.039,41.516,41.165,34.671,31.929,29.011,31.963
